year,city,country,avg_temp
1796,Pune,India,24.39
1797,Pune,India,25.17
1798,Pune,India,24.05
1799,Pune,India,24.68
1800,Pune,India,24.67
1801,Pune,India,23.94
1802,Pune,India,25.18
1803,Pune,India,24.95
1804,Pune,India,25.33
1805,Pune,India,24.80
1806,Pune,India,24.68
1807,Pune,India,24.00
1808,Pune,India,
1809,Pune,India,
1810,Pune,India,
1811,Pune,India,
1812,Pune,India,
1813,Pune,India,24.03
1814,Pune,India,23.49
1815,Pune,India,23.58
1816,Pune,India,23.13
1817,Pune,India,23.37
1818,Pune,India,23.80
1819,Pune,India,23.54
1820,Pune,India,23.67
1821,Pune,India,24.24
1822,Pune,India,24.25
1823,Pune,India,24.28
1824,Pune,India,24.84
1825,Pune,India,24.54
1826,Pune,India,24.64
1827,Pune,India,24.64
1828,Pune,India,24.40
1829,Pune,India,24.23
1830,Pune,India,24.36
1831,Pune,India,24.08
1832,Pune,India,24.29
1833,Pune,India,24.29
1834,Pune,India,24.36
1835,Pune,India,23.56
1836,Pune,India,23.96
1837,Pune,India,23.92
1838,Pune,India,23.99
1839,Pune,India,24.04
1840,Pune,India,24.12
1841,Pune,India,23.87
1842,Pune,India,24.18
1843,Pune,India,23.92
1844,Pune,India,23.88
1845,Pune,India,24.17
1846,Pune,India,24.69
1847,Pune,India,24.15
1848,Pune,India,24.15
1849,Pune,India,24.07
1850,Pune,India,24.23
1851,Pune,India,24.16
1852,Pune,India,24.20
1853,Pune,India,24.41
1854,Pune,India,24.53
1855,Pune,India,24.55
1856,Pune,India,24.04
1857,Pune,India,23.69
1858,Pune,India,24.35
1859,Pune,India,24.41
1860,Pune,India,24.19
1861,Pune,India,24.06
1862,Pune,India,21.86
1863,Pune,India,
1864,Pune,India,
1865,Pune,India,24.64
1866,Pune,India,24.65
1867,Pune,India,24.69
1868,Pune,India,24.61
1869,Pune,India,24.66
1870,Pune,India,24.28
1871,Pune,India,24.31
1872,Pune,India,24.32
1873,Pune,India,24.40
1874,Pune,India,24.42
1875,Pune,India,24.49
1876,Pune,India,24.89
1877,Pune,India,25.13
1878,Pune,India,25.07
1879,Pune,India,24.03
1880,Pune,India,24.57
1881,Pune,India,24.51
1882,Pune,India,24.29
1883,Pune,India,23.89
1884,Pune,India,23.94
1885,Pune,India,24.34
1886,Pune,India,24.42
1887,Pune,India,23.94
1888,Pune,India,24.72
1889,Pune,India,24.74
1890,Pune,India,24.51
1891,Pune,India,24.64
1892,Pune,India,24.70
1893,Pune,India,23.89
1894,Pune,India,24.55
1895,Pune,India,24.60
1896,Pune,India,25.29
1897,Pune,India,25.01
1898,Pune,India,24.89
1899,Pune,India,24.95
1900,Pune,India,25.29
1901,Pune,India,24.81
1902,Pune,India,25.35
1903,Pune,India,24.41
1904,Pune,India,24.69
1905,Pune,India,24.45
1906,Pune,India,24.51
1907,Pune,India,24.49
1908,Pune,India,24.30
1909,Pune,India,24.47
1910,Pune,India,24.22
1911,Pune,India,24.78
1912,Pune,India,25.01
1913,Pune,India,24.64
1914,Pune,India,24.69
1915,Pune,India,24.79
1916,Pune,India,24.59
1917,Pune,India,23.91
1918,Pune,India,24.76
1919,Pune,India,24.78
1920,Pune,India,24.87
1921,Pune,India,24.77
1922,Pune,India,24.57
1923,Pune,India,24.56
1924,Pune,India,24.87
1925,Pune,India,24.61
1926,Pune,India,24.86
1927,Pune,India,24.54
1928,Pune,India,24.71
1929,Pune,India,24.84
1930,Pune,India,24.61
1931,Pune,India,24.88
1932,Pune,India,24.59
1933,Pune,India,24.38
1934,Pune,India,24.26
1935,Pune,India,24.37
1936,Pune,India,24.67
1937,Pune,India,24.43
1938,Pune,India,24.34
1939,Pune,India,24.60
1940,Pune,India,24.59
1941,Pune,India,25.57
1942,Pune,India,25.00
1943,Pune,India,24.48
1944,Pune,India,24.75
1945,Pune,India,24.40
1946,Pune,India,24.76
1947,Pune,India,24.79
1948,Pune,India,25.06
1949,Pune,India,24.82
1950,Pune,India,24.54
1951,Pune,India,24.98
1952,Pune,India,24.98
1953,Pune,India,25.09
1954,Pune,India,24.68
1955,Pune,India,24.68
1956,Pune,India,24.50
1957,Pune,India,24.95
1958,Pune,India,25.28
1959,Pune,India,25.11
1960,Pune,India,25.02
1961,Pune,India,24.66
1962,Pune,India,24.66
1963,Pune,India,24.80
1964,Pune,India,24.63
1965,Pune,India,24.96
1966,Pune,India,25.26
1967,Pune,India,25.05
1968,Pune,India,24.68
1969,Pune,India,25.37
1970,Pune,India,24.74
1971,Pune,India,24.54
1972,Pune,India,25.31
1973,Pune,India,25.18
1974,Pune,India,24.87
1975,Pune,India,24.47
1976,Pune,India,25.05
1977,Pune,India,25.30
1978,Pune,India,24.81
1979,Pune,India,25.28
1980,Pune,India,25.33
1981,Pune,India,25.00
1982,Pune,India,25.21
1983,Pune,India,24.70
1984,Pune,India,24.99
1985,Pune,India,25.02
1986,Pune,India,25.26
1987,Pune,India,25.61
1988,Pune,India,25.29
1989,Pune,India,24.86
1990,Pune,India,24.78
1991,Pune,India,25.06
1992,Pune,India,25.14
1993,Pune,India,25.06
1994,Pune,India,24.84
1995,Pune,India,25.24
1996,Pune,India,25.34
1997,Pune,India,25.21
1998,Pune,India,25.55
1999,Pune,India,25.10
2000,Pune,India,25.11
2001,Pune,India,25.34
2002,Pune,India,25.58
2003,Pune,India,25.75
2004,Pune,India,25.32
2005,Pune,India,25.09
2006,Pune,India,25.31
2007,Pune,India,25.58
2008,Pune,India,25.23
2009,Pune,India,25.87
2010,Pune,India,25.75
2011,Pune,India,25.16
2012,Pune,India,25.30
2013,Pune,India,25.85
